Trial,Temp,HeatSoak,StartingMass,EndingMass,ConcentrateMass,MassLost,Efficiency,WaxMass,Timestamp
1,395,65,0.19,0.123,0.19,0.067,35.26315789473685,0,"2025-08-20T15:02:41.787Z"
2,395,65,0.165,0.097,0.165,0.068,41.21212121212121,0,"2025-08-21T02:28:44.829Z"
3,395,65,0.187,0.109,0.187,0.078,41.711229946524064,0,"2025-08-21T08:48:31.144Z"
4,395,65,0.246,0.168,0.266,0.098,36.84210526315789,20.000000000000018,"2025-08-21T17:08:26.304Z"
5,395,65,0.205,0.154,0.255,0.101,39.6078431372549,50.000000000000014,"2025-08-22T05:59:39.386Z"
6,395,65,0.236,0.196,0.322,0.126,39.130434782608695,86.00000000000001,"2025-08-22T06:55:21.640Z"
8,395,65,0.275,0.219,0.329,0.11000000000000001,33.434650455927056,53.99999999999999,"2025-08-22T18:31:50.112Z"
8,395,65,0.251,0.187,0.308,0.121,39.285714285714285,56.99999999999999,"2025-08-23T04:00:09.957Z"
9,395,65,0.229,0.149,0.284,0.13499999999999998,47.53521126760563,54.999999999999964,"2025-08-23T17:47:06.843Z"
10,395,65,0.2,0.129,0.2,0.07100000000000001,35.50000000000001,0,"2025-08-23T21:30:54.938Z"
11,395,65,0.2,0.139,0.231,0.092,39.82683982683982,31,"2025-08-23T21:37:31.016Z"
12,395,65,0.3,0.188,0.3,0.11199999999999999,37.33333333333333,0,"2025-08-24T03:15:52.863Z"
13,395,65,0.246,0.158,0.291,0.13299999999999998,45.70446735395189,44.999999999999986,"2025-08-24T08:53:27.457Z"
14,395,65,0.237,0.151,0.274,0.12300000000000003,44.89051094890512,37.000000000000036,"2025-08-24T22:00:40.608Z"
15,395,65,0.237,0.166,0.237,0.07099999999999998,29.95780590717299,0,"2025-08-25T07:54:36.347Z"
16,395,65,0.188,0.129,0.229,0.1,43.66812227074236,41.00000000000001,"2025-08-25T09:07:31.252Z"
